experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,XGB(sm),61,1.4606242823710864,1.4606242823710864,1.0,0.0,1.571305687211414,1.5723058340427292,1.570197427127821,1.6056486005339161,1.4606242823710864
A,main,GB(sm),42,1.4725438840782425,1.4845565843020012,0.3,-0.8157787590336004,1.5197894009119746,1.4845565843020012,1.4465233219494635,1.537912372947095,1.4725438840782425
A,main,GB(sm),43,1.1525891147838006,1.0566546173423121,0.7,8.323390895417534,1.1263505645873961,1.116388841550675,1.0561918551925638,1.0566546173423121,1.1525891147838006
A,main,GB(sm),44,1.3315198830443284,1.2978507052890982,0.3,2.5286274868273493,1.3497244384946223,1.2978507052890982,1.3041647305031678,1.2567594815698329,1.3315198830443284
A,main,GB(sm),45,1.3109284326754584,1.2236076202622161,0.7,6.660990046194229,1.2647591400639162,1.2758498676369285,1.3299755227903713,1.2236076202622161,1.3109284326754584
A,main,GB(sm),46,1.2229037610653317,1.2229037610653317,1.0,0.0,1.2560322721889297,1.1930613833137436,1.2206392357523033,1.2870525113130225,1.2229037610653317
A,main,GB(sm),47,1.0948051721906755,1.0948051721906755,1.0,0.0,1.2028934737574664,1.1433586730983143,1.142514217506724,1.1481024633159662,1.0948051721906755
A,main,GB(sm),48,1.2886553646841845,1.2919884304193399,0.5,-0.2586467900183845,1.3086351196179122,1.240612955162394,1.2919884304193399,1.2931861346506688,1.2886553646841845
A,main,GB(sm),49,1.253634402243121,1.253634402243121,1.0,0.0,1.4251808917624011,1.3119139092289385,1.3373797744368359,1.2798432325450422,1.253634402243121
A,main,GB(sm),50,1.356482576539319,1.3002932875818758,0.3,4.142278708864377,1.3210107287221533,1.3002932875818758,1.3562463582407687,1.3599880365284243,1.356482576539319
A,main,GB(sm),51,1.724086639325388,1.724086639325388,1.0,0.0,1.725938182271981,1.7399441507850046,1.8633727370096418,1.7881825986543567,1.724086639325388
A,main,GB(sm),52,1.3567756965359357,1.4313221027807792,0.0,-5.494379537839039,1.4313221027807792,1.4279607866674673,1.4566763267858442,1.4022580761584824,1.3567756965359357
A,main,GB(sm),53,1.2822678758186739,1.2822678758186739,1.0,0.0,1.3357732016149055,1.4219019924670189,1.37663921563349,1.2702655595693688,1.2822678758186739
A,main,GB(sm),54,1.2860853897231754,1.2860853897231754,1.0,0.0,1.3964442544972422,1.3170817774384078,1.366375147675105,1.3369016728337784,1.2860853897231754
A,main,GB(sm),55,1.3069909919696356,1.3069909919696356,1.0,0.0,1.4173777000610153,1.4132641579100191,1.3083988715880983,1.4650218996795257,1.3069909919696356
